"mjd","residual"
57734.4609181163,775129.516602
57734.4609191512,796282.165527
57734.4609201848,708110.473633
57734.4609212164,443710.81543
57734.4609222563,898742.30957
57734.4609232898,796538.269043
57734.4609243266,983264.770508
57734.4609253591,797261.047363
57734.4609263925,688450.500488
57734.4609274346,1329292.480469
57734.4609284637,853510.925293
57734.4609295001,1005877.990723
57734.4609305363,1138237.670898
57734.460931565,621797.302246
57734.4609326057,1143825.439453
57734.4609336358,754484.191895
57734.4609346653,306594.818115
57734.4609357056,796158.874512
57734.460936736,424471.862793
57734.4609377739,707320.129395
57734.4609388114,950731.018066
57734.4609398428,670494.750977
57734.4609408788,789540.100098
57734.4609419101,501758.239746
57734.4609429491,871231.811523
57734.4609439832,829271.30127
57734.4609450156,631095.947266
57734.4609460504,648578.552246
57734.4609470833,495842.315674
57734.4609481187,561781.982422
57734.4609491565,830501.464844
57734.4609501892,659757.080078
57734.4609512193,271170.837402
57734.4609522599,779504.333496
57734.4609532937,708256.652832
57734.460954325,414719.207764
57734.4609553592,376143.981934
57734.4609563945,436350.982666
57734.4609574303,533620.483398
57734.4609584669,704540.710449
57734.4609595031,835997.802734
57734.4609605311,263619.628906
57734.4609615714,752668.945312
57734.4609626049,646189.208984
57734.4609636408,760459.350586
57734.4609646737,606875.305176
57734.4609657088,641645.019531
57734.4609667457,838075.683594
57734.4609677758,442820.129395
57734.4609688139,741611.38916
57734.4609698475,652194.763184
57734.4609708809,546022.399902
57734.4609719161,587506.713867
57734.4609729509,608183.837891
57734.4609739826,352313.049316
57734.4609750231,849581.359863
57734.4609760558,681770.507812
57734.4609770947,1049994.018555
57734.460978125,679586.181641
57734.4609791628,949545.959473
57734.4609801915,430956.726074
57734.4609812316,904010.986328
57734.4609822656,851906.25
57734.4609832971,576666.07666
57734.4609843351,862575.866699
57734.4609853662,560256.103516
57734.4609864014,608894.287109
57734.4609874326,304255.126953
57734.4609884701,556187.5
57734.4609895029,394740.112305
57734.4609905405,644490.661621
57734.4609915737,523225.463867
57734.4609926116,804986.999512
57734.460993648,951216.247559
57734.460994681,813008.056641
57734.4609957197,1157200.073242
57734.4609967505,823149.719238
57734.4609977839,722644.958496
57734.4609988189,745655.273438
57734.4609998481,280468.62793
57734.4610008842,407458.190918
57734.461001922,672749.694824
57734.4610029585,838669.86084
57734.4610039947,967034.790039
57734.4610050271,777651.794434
57734.4610060566,333774.047852
57734.4610070978,895456.542969
57734.4610081324,889627.319336
57734.4610091645,669999.450684
57734.4610102013,853238.830566
57734.4610112336,647198.669434
57734.4610122684,661336.669922
57734.4610133052,853108.032227
57734.4610143366,566162.902832
57734.4610153728,703065.917969
57734.4610164203,1808363.037109
57734.4610174429,771578.613281
57734.461018475,546633.544922
57734.4610195096,542683.166504
57734.4610205466,749385.131836
57734.4610215793,577565.673828
57734.4610226139,578190.063477
57734.4610236509,775376.342773
57734.4610246807,361193.206787
57734.4610257185,632942.565918
57734.4610267533,645307.495117
